antecedent,consequent,count
游戏机,卫浴用品,337938
耳机,卫浴用品,337922
文具,内衣,337781
外套,文具,337620
耳机,水果,337563
裤子,卫浴用品,337541
饮料,零食,337465
文具,外套,337465
水果,耳机,337397
零食,饮料,337036
智能手机,零食,337032
婴儿用品,模型,337024
模型,婴儿用品,336841
智能手机,裙子,336820
游戏机,水果,336766
裙子,智能手机,336630
零食,智能手机,336581
卫浴用品,益智玩具,336560
益智玩具,卫浴用品,336386
裤子,水果,336312
水果,裤子,336074
水果,游戏机,336007
模型,帽子,335852
帽子,围巾,335849
模型,车载电子,335830
帽子,模型,335668
车载电子,模型,335522
健身器材,卫浴用品,335499
围巾,婴儿用品,335440
婴儿用品,围巾,335434
益智玩具,水果,335342
模型,平板电脑,335338
肉类,模型,335286
裙子,裙子,335192
模型,肉类,335182
平板电脑,模型,334956
平板电脑,围巾,334721
模型,相机,334712
水果,益智玩具,334579
笔记本电脑,卫浴用品,334569
围巾,相机,334566
笔记本电脑,水果,334420
卫浴用品,笔记本电脑,334381
饮料,耳机,334297
相机,模型,334285
婴儿用品,文具,334266
文具,婴儿用品,334205
智能手机,耳机,334140
饮料,游戏机,334083
游戏机,饮料,334033
耳机,饮料,334021
围巾,车载电子,334016
相机,围巾,333906
家具,模型,333790
裙子,零食,333777
围巾,平板电脑,333663
游戏机,智能手机,333614
健身器材,水果,333614
卫浴用品,健身器材,333547
模型,家具,333546
饮料,裤子,333546
零食,裙子,333503
家具,围巾,333473
围巾,帽子,333453
帽子,文具,333421
卫浴用品,智能手表,333355
肉类,围巾,333292
围巾,肉类,333281
耳机,智能手机,333263
水果,健身器材,333210
车载电子,围巾,333093
文具,肉类,333083
文具,平板电脑,333079
文具,车载电子,333043
裤子,饮料,333033
智能手表,卫浴用品,332978
相机,文具,332919
水果,智能手表,332821
文具,帽子,332785
肉类,文具,332712
文具,相机,332697
水果,笔记本电脑,332617
车载电子,文具,332579
饮料,益智玩具,332421
零食,零食,332369
儿童课外读物,卫浴用品,332352
围巾,家具,332174
家具,文具,332070
裤子,智能手机,332054
智能手机,裤子,331937
平板电脑,文具,331761
卫浴用品,儿童课外读物,331709
智能手表,水果,331644
益智玩具,饮料,331583
智能手机,游戏机,331512
饮料,笔记本电脑,331452
卫浴用品,内衣,331408
水果,儿童课外读物,331331
文具,家具,331287
智能手机,益智玩具,331227
内衣,卫浴用品,330994
益智玩具,智能手机,330924
裙子,耳机,330682
零食,耳机,330553
笔记本电脑,饮料,330547
水果,内衣,330366
内衣,水果,330363
外套,卫浴用品,330275
裤子,裙子,330267
米面,模型,330260
耳机,裙子,330219
模型,米面,330134
健身器材,饮料,330059
耳机,零食,329909
儿童课外读物,水果,329776
益智玩具,裙子,329775
智能手机,笔记本电脑,329721
饮料,健身器材,329480
健身器材,智能手机,329364
笔记本电脑,智能手机,329309
裙子,游戏机,329260
卫浴用品,外套,329158
裤子,零食,329090
游戏机,裙子,329068
饮料,智能手表,328979
智能手机,健身器材,328875
智能手表,饮料,328868
米面,围巾,328755
智能手表,智能手机,328708
水果,外套,328663
模型,手套,328649
外套,水果,328373
游戏机,零食,328348
零食,游戏机,328234
蔬菜,模型,328191
智能手机,智能手表,328140
零食,裤子,328134
裙子,益智玩具,328134
裙子,裤子,328111
围巾,米面,328013
内衣,饮料,327905
手套,模型,327742
围巾,手套,327737
模型,蔬菜,327714
卫浴用品,婴儿用品,327630
零食,益智玩具,327598
益智玩具,零食,327430
健身器材,裙子,327410
儿童课外读物,饮料,327398
婴儿用品,卫浴用品,327312
裙子,笔记本电脑,327214
蔬菜,围巾,327180
饮料,内衣,327168
手套,围巾,327155
外套,饮料,327139
文具,米面,327105
围巾,蔬菜,327092
耳机,耳机,327068
裙子,健身器材,327060
平板电脑,卫浴用品,327046
笔记本电脑,裙子,327035
饮料,儿童课外读物,327008
智能手机,内衣,326916
米面,文具,326887
卫浴用品,帽子,326715
帽子,卫浴用品,326664
婴儿用品,水果,326611
智能手机,儿童课外读物,326611
手套,文具,326605
儿童课外读物,智能手机,326536
卫浴用品,平板电脑,326500
肉类,卫浴用品,326466
裤子,耳机,326451
卫浴用品,肉类,326428
内衣,智能手机,326421
床上用品,模型,326314
蛋奶,模型,326243
卫浴用品,相机,326169
饮料,外套,326124
相机,卫浴用品,326122
文具,手套,326047
水果,婴儿用品,326026
车载电子,卫浴用品,325972
游戏机,耳机,325900
模型,床上用品,325897
卫浴用品,车载电子,325887
蔬菜,文具,325880
水果,帽子,325801
帽子,水果,325698
相机,水果,325607
笔记本电脑,零食,325603
肉类,水果,325582
模型,蛋奶,325546
水果,相机,325393
智能手机,外套,325283
智能手表,裙子,325176
健身器材,零食,325175
裙子,智能手表,325158
家具,卫浴用品,325152
水果,平板电脑,325121
零食,健身器材,325009
卫浴用品,家具,324998
围巾,床上用品,324922
耳机,游戏机,324908
玩具,模型,324905
床上用品,围巾,324852
零食,笔记本电脑,324783
耳机,裤子,324727
文具,蔬菜,324693
模型,玩具,324677
耳机,益智玩具,324674
水果,车载电子,324565
蛋奶,围巾,324532
户外装备,模型,324531
床上用品,文具,324365
零食,智能手表,324352
车载电子,水果,324221
外套,智能手机,324210
模型,户外装备,324196
平板电脑,水果,324130
水果,肉类,324103
裤子,裤子,324013
玩具,围巾,323982
益智玩具,耳机,323956
智能手表,零食,323940
裙子,儿童课外读物,323896
蛋奶,文具,323865
游戏机,游戏机,323826
裤子,游戏机,323787
围巾,玩具,323779
家具,水果,323601
模型,厨具,323580
模型,汽车装饰,323502
婴儿用品,饮料,323439
内衣,裙子,323422
儿童课外读物,裙子,323324
围巾,蛋奶,323310
饮料,帽子,323252
游戏机,裤子,323245
水果,家具,323210
文具,蛋奶,323191
婴儿用品,智能手机,323128
车载电子,饮料,323112
零食,内衣,323108
裙子,内衣,323104
裤子,益智玩具,323078
益智玩具,裤子,322964
裙子,外套,322954
帽子,饮料,322888
饮料,车载电子,322850
内衣,零食,322845
文具,玩具,322835
儿童课外读物,零食,322772
饮料,平板电脑,322703
相机,饮料,322611
耳机,健身器材,322598
笔记本电脑,耳机,322558
饮料,婴儿用品,322460
益智玩具,益智玩具,322444
耳机,笔记本电脑,322417
益智玩具,游戏机,322399
智能手表,耳机,322395
智能手机,婴儿用品,322385
文具,床上用品,322257
户外装备,围巾,322230
汽车装饰,模型,322197
厨具,模型,322132
玩具,文具,322129
家具,饮料,322123
零食,儿童课外读物,321989
游戏机,益智玩具,321980
健身器材,耳机,321818
外套,裙子,321817
围巾,户外装备,321776
肉类,饮料,321715
帽子,智能手机,321688
智能手机,肉类,321650
健身器材,游戏机,321645
裤子,笔记本电脑,321545
游戏机,健身器材,321505
益智玩具,笔记本电脑,321492
平板电脑,饮料,321491
游戏机,笔记本电脑,321468
模型,上衣,321426
笔记本电脑,裤子,321395
汽车装饰,围巾,321391
智能手机,相机,321382
智能手机,平板电脑,321347
相机,智能手机,321309
文具,户外装备,321292
裤子,智能手表,321234
健身器材,裤子,321211
车载电子,智能手机,321193
健身器材,益智玩具,321163
上衣,模型,321151
智能手机,帽子,321137
户外装备,文具,321124
厨具,围巾,321098
文具,汽车装饰,321097
耳机,智能手表,321078
围巾,汽车装饰,321060
米面,卫浴用品,320984
零食,外套,320967
内衣,耳机,320913
饮料,肉类,320911
饮料,相机,320886
智能手机,家具,320882
饮料,家具,320867
笔记本电脑,游戏机,320818
益智玩具,健身器材,320793
卫浴用品,米面,320787
平板电脑,智能手机,320760
围巾,厨具,320721
肉类,智能手机,320636
模型,办公用品,320608
办公用品,模型,320597
汽车装饰,文具,320572
外套,零食,320570
耳机,儿童课外读物,320564
文具,厨具,320492
裤子,健身器材,320491
智能手机,车载电子,320433
裙子,婴儿用品,320388
厨具,文具,320320
笔记本电脑,健身器材,320147
卫浴用品,手套,320084
卫浴用品,蔬菜,320068
耳机,内衣,320044
上衣,围巾,319960
蔬菜,卫浴用品,319952
智能手表,裤子,319890
米面,水果,319748
围巾,上衣,319745
外套,耳机,319740
儿童课外读物,耳机,319641
智能手表,游戏机,319601
家具,智能手机,319469
笔记本电脑,益智玩具,319424
办公用品,围巾,319377
健身器材,健身器材,319360
裤子,儿童课外读物,319302
笔记本电脑,笔记本电脑,319238
游戏机,智能手表,319229
围巾,办公用品,319190
耳机,外套,319154
水果,米面,319151
水果,手套,319132
儿童课外读物,裤子,319107
婴儿用品,裙子,319044
健身器材,笔记本电脑,318911
水产,模型,318901
儿童课外读物,游戏机,318847
零食,婴儿用品,318835
游戏机,儿童课外读物,318802
平板电脑,裙子,318773
内衣,裤子,318731
婴儿用品,零食,318719
益智玩具,儿童课外读物,318680
帽子,零食,318669
模型,水产,318660
裙子,平板电脑,318603
益智玩具,智能手表,318483
上衣,文具,318455
智能手表,益智玩具,318446
相机,裙子,318380
内衣,游戏机,318352
手套,水果,318328
游戏机,内衣,318324
车载电子,裙子,318265
水果,蔬菜,318200
裤子,内衣,318153
裙子,肉类,318133
裙子,相机,318128
肉类,裙子,318043
家具,裙子,318032
裙子,车载电子,318030
智能手表,笔记本电脑,318021
手套,卫浴用品,318017
裙子,帽子,318005
肉类,零食,317970
儿童课外读物,益智玩具,317847
帽子,裙子,317811
蔬菜,水果,317800
零食,帽子,317791
裤子,外套,317736
文具,上衣,317630
零食,平板电脑,317497
智能手表,健身器材,317431
零食,相机,317425
平板电脑,零食,317395
笔记本电脑,智能手表,317335
车载电子,零食,317329
米面,饮料,317184
围巾,水产,317154
相机,零食,317137
文具,办公用品,317134
外套,游戏机,317108
内衣,健身器材,316860
床上用品,卫浴用品,316851
内衣,益智玩具,316850
裙子,家具,316811
耳机,肉类,316776
游戏机,外套,316738
卫浴用品,玩具,316732
水产,文具,316650
外套,裤子,316630
健身器材,儿童课外读物,316622
内衣,笔记本电脑,316606
蛋奶,卫浴用品,316518
卫浴用品,床上用品,316500
饮料,手套,316479
零食,肉类,316452
健身器材,智能手表,316418
水果,床上用品,316392
外套,益智玩具,316384
家具,零食,316377
饮料,米面,316366
益智玩具,外套,316355
儿童课外读物,笔记本电脑,316321
办公用品,文具,316300
零食,家具,316269
健身器材,内衣,316238
水产,围巾,316140
益智玩具,内衣,316127
饮料,蔬菜,316127
笔记本电脑,儿童课外读物,316099
米面,智能手机,316017
零食,车载电子,315925
婴儿用品,游戏机,315840
婴儿用品,耳机,315812
文具,水产,315777
卫浴用品,蛋奶,315760
外套,笔记本电脑,315752
耳机,婴儿用品,315731
肉类,耳机,315711
耳机,帽子,315697
玩具,水果,315638
蔬菜,饮料,315616
水果,蛋奶,315611
智能手机,手套,315577
玩具,卫浴用品,315556
儿童课外读物,健身器材,315508
婴儿用品,裤子,315492
耳机,平板电脑,315490
手套,饮料,315455
水果,玩具,315442
智能手表,智能手表,315419
蛋奶,水果,315401
耳机,车载电子,315378
笔记本电脑,内衣,315376
床上用品,水果,315354
裤子,平板电脑,315302
户外装备,卫浴用品,315287
卫浴用品,厨具,315242
内衣,智能手表,315211
卫浴用品,户外装备,315168
智能手机,米面,315149
车载电子,耳机,315124
外套,健身器材,315082
健身器材,外套,315007
智能手表,内衣,314941
平板电脑,耳机,314937
笔记本电脑,外套,314923
相机,耳机,314784
户外装备,水果,314682
游戏机,肉类,314665
游戏机,婴儿用品,314611
汽车装饰,卫浴用品,314571
智能手表,儿童课外读物,314544
裤子,婴儿用品,314519
帽子,耳机,314498
儿童课外读物,智能手表,314461
平板电脑,裤子,314444
帽子,裤子,314379
耳机,相机,314229
内衣,儿童课外读物,314206
卫浴用品,汽车装饰,314154
裤子,相机,314150
车载电子,游戏机,314097
水果,户外装备,314067
游戏机,帽子,314023
肉类,裤子,313987
手套,智能手机,313928
厨具,卫浴用品,313909
耳机,家具,313898
益智玩具,平板电脑,313864
蔬菜,智能手机,313753
相机,游戏机,313735
饮料,蛋奶,313690
肉类,游戏机,313662
游戏机,车载电子,313659
裤子,肉类,313658
米面,裙子,313644
儿童课外读物,儿童课外读物,313637
智能手表,外套,313605
水果,汽车装饰,313592
相机,裤子,313550
帽子,益智玩具,313536
调味品,模型,313526
家具,耳机,313502
蛋奶,饮料,313483
游戏机,平板电脑,313447
婴儿用品,益智玩具,313436
调味品,文具,313396
汽车装饰,水果,313348
平板电脑,游戏机,313328
零食,米面,313314
裤子,车载电子,313278
裤子,帽子,313271
智能手机,蔬菜,313232
裙子,米面,313210
游戏机,相机,313204
模型,调味品,313013
相机,益智玩具,312974
益智玩具,婴儿用品,312961
围巾,调味品,312880
儿童课外读物,内衣,312851
饮料,玩具,312807
帽子,游戏机,312795
益智玩具,车载电子,312785
外套,内衣,312775
车载电子,裤子,312749
床上用品,饮料,312689
内衣,内衣,312605
肉类,益智玩具,312569
内衣,外套,312490
智能手机,床上用品,312461
外套,智能手表,312458
健身器材,婴儿用品,312451
卫浴用品,上衣,312425
厨具,水果,312335
笔记本电脑,婴儿用品,312331
上衣,卫浴用品,312289
儿童课外读物,外套,312273
益智玩具,帽子,312266
蛋奶,智能手机,312260
裤子,家具,312233
家具,游戏机,312226
水果,厨具,312156
外套,儿童课外读物,312059
智能手机,蛋奶,312059
游戏机,家具,312043
调味品,围巾,312037
饮料,床上用品,311968
家具,益智玩具,311967
益智玩具,肉类,311965
米面,零食,311960
玩具,饮料,311943
户外装备,饮料,311936
平板电脑,益智玩具,311931
婴儿用品,健身器材,311809
手套,裙子,311804
婴儿用品,笔记本电脑,311796
裙子,手套,311755
智能手机,玩具,311703
裙子,蔬菜,311691
零食,手套,311622
相机,笔记本电脑,311576
上衣,水果,311552
办公用品,卫浴用品,311534
健身器材,帽子,311515
健身器材,相机,311498
健身器材,车载电子,311449
蔬菜,裙子,311397
车载电子,益智玩具,311340
婴儿用品,智能手表,311315
饮料,户外装备,311293
健身器材,肉类,311275
益智玩具,家具,311237
益智玩具,相机,311202
床上用品,智能手机,311202
玩具,智能手机,311199
蔬菜,零食,311194
帽子,笔记本电脑,311186
家具,裤子,311185
帽子,健身器材,311123
水果,上衣,311117
智能手表,婴儿用品,311059
文具,调味品,311031
肉类,健身器材,311018
笔记本电脑,平板电脑,311007
外套,外套,310990
笔记本电脑,肉类,310982
车载电子,笔记本电脑,310972
卫浴用品,办公用品,310961
智能手机,户外装备,310941
相机,健身器材,310817
水果,办公用品,310784
车载电子,健身器材,310701
米面,耳机,310640
平板电脑,健身器材,310620
零食,蔬菜,310525
家具,健身器材,310488
办公用品,水果,310486
笔记本电脑,车载电子,310466
平板电脑,笔记本电脑,310440
饮料,厨具,310428
肉类,笔记本电脑,310422
饮料,汽车装饰,310372
智能手表,平板电脑,310208
手套,零食,310207
健身器材,平板电脑,310094
户外装备,智能手机,310086
笔记本电脑,相机,310049
笔记本电脑,帽子,310045
水产,卫浴用品,310041
婴儿用品,儿童课外读物,309952
笔记本电脑,家具,309914
儿童课外读物,婴儿用品,309881
平板电脑,智能手表,309849
帽子,智能手表,309789
裙子,床上用品,309754
智能手表,相机,309733
耳机,米面,309679
肉类,智能手表,309652
健身器材,家具,309650
卫浴用品,水产,309605
床上用品,裙子,309550
汽车装饰,饮料,309539
智能手表,肉类,309526
相机,智能手表,309514
家具,笔记本电脑,309493
裙子,蛋奶,309441
厨具,饮料,309378
智能手表,帽子,309294
婴儿用品,内衣,309282
智能手机,厨具,309272
零食,床上用品,309224
车载电子,智能手表,309194
车载电子,内衣,309170
米面,游戏机,309134
内衣,平板电脑,309051
裤子,米面,309033
帽子,儿童课外读物,309016
儿童课外读物,帽子,308979
汽车装饰,智能手机,308961
智能手机,汽车装饰,308944
裙子,玩具,308893
水果,水产,308880
智能手表,车载电子,308872
智能手表,家具,308869
婴儿用品,外套,308864
家具,智能手表,308851
相机,内衣,308848
平板电脑,儿童课外读物,308710
内衣,婴儿用品,308707
儿童课外读物,相机,308621
厨具,智能手机,308611
零食,蛋奶,308596
上衣,饮料,308591
内衣,肉类,308571
耳机,手套,308560
水产,水果,308559
蛋奶,裙子,308553
儿童课外读物,车载电子,308478
手套,耳机,308477
相机,儿童课外读物,308438
儿童课外读物,平板电脑,308393
蔬菜,耳机,308352
车载电子,儿童课外读物,308312
米面,益智玩具,308254
玩具,零食,308241
户外装备,裙子,308219
平板电脑,内衣,308193
米面,裤子,308186
饮料,上衣,308171
玩具,裙子,308132
游戏机,米面,308051
耳机,蔬菜,308022
肉类,内衣,308009
肉类,儿童课外读物,308008
帽子,内衣,307997
裙子,户外装备,307952
游戏机,手套,307815
办公用品,饮料,307810
外套,婴儿用品,307794
相机,外套,307793
外套,帽子,307736
内衣,相机,307722
内衣,帽子,307698
零食,玩具,307693
上衣,智能手机,307692
外套,相机,307642
智能手机,上衣,307633
益智玩具,米面,307571
模型,音响,307510
肉类,外套,307465
床上用品,零食,307465
蛋奶,零食,307410
儿童课外读物,肉类,307392
智能手机,办公用品,307331
帽子,外套,307302
模型,鞋子,307278
家具,儿童课外读物,307273
裤子,手套,307249
外套,平板电脑,307194
外套,肉类,307173
手套,裤子,307062
手套,益智玩具,307055
零食,户外装备,307031
水产,饮料,307007
裤子,蔬菜,307001
户外装备,零食,307000
内衣,家具,306989
儿童课外读物,家具,306978
蔬菜,游戏机,306943
裙子,汽车装饰,306925
外套,车载电子,306867
内衣,车载电子,306837
家具,内衣,306788
车载电子,外套,306762
汽车装饰,裙子,306733
耳机,床上用品,306584
手套,游戏机,306554
饮料,水产,306540
外套,家具,306467
卫浴用品,调味品,306454
益智玩具,手套,306439
鞋子,模型,306416
米面,健身器材,306414
办公用品,智能手机,306364
蔬菜,裤子,306359
厨具,裙子,306354
裙子,厨具,306180
汽车装饰,零食,306138
婴儿用品,婴儿用品,306097
音响,模型,306089
家具,外套,306080
米面,智能手表,306060
饮料,办公用品,306047
游戏机,蔬菜,306041
围巾,音响,306032
笔记本电脑,米面,306031
零食,厨具,306018
米面,笔记本电脑,305988
鞋子,围巾,305902
调味品,卫浴用品,305828
耳机,玩具,305742
平板电脑,外套,305689
耳机,蛋奶,305625
蔬菜,益智玩具,305617
笔记本电脑,蔬菜,305613
围巾,鞋子,305578
音响,围巾,305547
婴儿用品,车载电子,305490
零食,汽车装饰,305403
厨具,零食,305383
手套,健身器材,305353
帽子,婴儿用品,305335
健身器材,米面,305325
婴儿用品,帽子,305268
床上用品,游戏机,305219
游戏机,床上用品,305194
床上用品,耳机,305143
裤子,床上用品,305127
上衣,裙子,305102
玩具,耳机,305078
裙子,上衣,305063
益智玩具,蔬菜,304994
婴儿用品,平板电脑,304986
智能手表,米面,304930
车载电子,婴儿用品,304926
手套,笔记本电脑,304919
玩具,游戏机,304892
帽子,车载电子,304845
相机,婴儿用品,304840
健身器材,手套,304764
裤子,玩具,304747
平板电脑,婴儿用品,304741
文具,鞋子,304711
蔬菜,健身器材,304639
车载电子,帽子,304598
鞋子,文具,304590
蛋奶,耳机,304577
益智玩具,玩具,304481
婴儿用品,相机,304453
裙子,办公用品,304452
耳机,户外装备,304395
蔬菜,笔记本电脑,304395
办公用品,裙子,304322
智能手机,水产,304300
婴儿用品,肉类,304240
水果,调味品,304210
帽子,平板电脑,304177
音响,文具,304139
水产,智能手机,304097
健身器材,蔬菜,304092
调味品,水果,303904
笔记本电脑,手套,303880
蛋奶,游戏机,303820
蛋奶,裤子,303782
文具,音响,303779
裤子,蛋奶,303767
帽子,帽子,303764
肉类,婴儿用品,303755
游戏机,蛋奶,303755
办公用品,零食,303712
游戏机,玩具,303694
益智玩具,蛋奶,303596
平板电脑,帽子,303592
米面,儿童课外读物,303567
相机,车载电子,303567
蛋奶,益智玩具,303506
上衣,零食,303494
内衣,米面,303493
户外装备,游戏机,303491
肉类,帽子,303491
耳机,汽车装饰,303488
平板电脑,相机,303482
户外装备,耳机,303467
零食,上衣,303463
婴儿用品,家具,303425
平板电脑,车载电子,303400
玩具,裤子,303397
帽子,肉类,303382
蔬菜,智能手表,303349
肉类,平板电脑,303341
手套,智能手表,303322
益智玩具,床上用品,303320
玩具,益智玩具,303316
汽车装饰,耳机,303308
平板电脑,肉类,303301
智能手表,蔬菜,303297
零食,办公用品,303278
肉类,车载电子,303242
肉类,相机,303207
床上用品,益智玩具,303174
手套,内衣,303160
肉类,肉类,303129
游戏机,户外装备,303047
床上用品,裤子,303047
蔬菜,儿童课外读物,303032
相机,相机,303024
米面,内衣,302995
家具,肉类,302975
帽子,相机,302963
儿童课外读物,米面,302941
相机,帽子,302822
相机,平板电脑,302814
厨具,耳机,302790
户外装备,裤子,302762
家具,平板电脑,302694
内衣,手套,302675
玩具,笔记本电脑,302669
智能手表,手套,302669
家具,婴儿用品,302602
车载电子,肉类,302568
米面,外套,302551
水产,零食,302548
车载电子,平板电脑,302538
车载电子,车载电子,302505
平板电脑,平板电脑,302496
裤子,户外装备,302458
相机,肉类,302432
车载电子,相机,302414
外套,米面,302394
游戏机,厨具,302370
笔记本电脑,蛋奶,302321
笔记本电脑,床上用品,302302
肉类,家具,302240
车载电子,家具,302234
上衣,耳机,302174
家具,车载电子,302146
帽子,家具,302019
笔记本电脑,玩具,302008
健身器材,床上用品,301986
耳机,厨具,301970
零食,水产,301948
健身器材,蛋奶,301945
水产,裙子,301911
蛋奶,健身器材,301910
内衣,蔬菜,301910
家具,帽子,301899
游戏机,汽车装饰,301898
裙子,水产,301877
手套,儿童课外读物,301871
平板电脑,家具,301815
调味品,饮料,301806
相机,家具,301805
裤子,汽车装饰,301739
户外装备,益智玩具,301702
家具,相机,301626
厨具,裤子,301586
益智玩具,户外装备,301506
床上用品,健身器材,301488
儿童课外读物,蔬菜,301483
床上用品,笔记本电脑,301462
智能手表,床上用品,301441
摄像机,模型,301435
上衣,游戏机,301412
智能手表,蛋奶,301381
智能手机,调味品,301371
厨具,益智玩具,301302
裤子,厨具,301289
厨具,游戏机,301266
玩具,健身器材,301263
汽车装饰,裤子,301249
模型,摄像机,301241
健身器材,玩具,301235
蔬菜,内衣,301228
耳机,上衣,301213
外套,手套,301175
蛋奶,笔记本电脑,301167
蛋奶,智能手表,301134
汽车装饰,游戏机,301131
儿童课外读物,手套,301026
蔬菜,外套,300906
床上用品,智能手表,300789
益智玩具,厨具,300716
饮料,调味品,300655
户外装备,笔记本电脑,300621
户外装备,健身器材,300608
家具,家具,300603
智能手表,玩具,300419
笔记本电脑,户外装备,300416
办公用品,耳机,300315
健身器材,户外装备,300282
婴儿用品,米面,300265
上衣,裤子,300238
调味品,智能手机,300227
内衣,玩具,300198
玩具,智能手表,300194
汽车装饰,益智玩具,300193
玩具,内衣,300135
外套,蔬菜,300076
裤子,上衣,299986
耳机,办公用品,299922
游戏机,上衣,299919
蛋奶,内衣,299861
益智玩具,汽车装饰,299856
笔记本电脑,厨具,299811
手套,外套,299748
摄像机,围巾,299653
厨具,健身器材,299569
上衣,益智玩具,299542
儿童课外读物,玩具,299475
儿童课外读物,床上用品,299456
卫浴用品,鞋子,299433
鞋子,水果,299411
健身器材,汽车装饰,299410
儿童课外读物,蛋奶,299367
厨具,笔记本电脑,299339
裙子,调味品,299305
米面,婴儿用品,299302
围巾,摄像机,299261
益智玩具,上衣,299258
床上用品,内衣,299251
汽车装饰,健身器材,299248
肉类,米面,299071
蛋奶,儿童课外读物,299053
办公用品,游戏机,299052
户外装备,儿童课外读物,299025
内衣,床上用品,299025
内衣,蛋奶,299018
床上用品,儿童课外读物,299004
平板电脑,米面,298944
游戏机,水产,298877
户外装备,智能手表,298812
裤子,办公用品,298809
笔记本电脑,汽车装饰,298802
水产,耳机,298783
鞋子,卫浴用品,298761
音响,水果,298590
卫浴用品,音响,298561
摄像机,文具,298547
文具,摄像机,298542
上衣,健身器材,298526
汽车装饰,笔记本电脑,298524
汽车装饰,智能手表,298508
户外装备,内衣,298463
益智玩具,办公用品,298455
音响,卫浴用品,298453
婴儿用品,蔬菜,298444
手套,婴儿用品,298406
米面,肉类,298392
玩具,外套,298381
玩具,儿童课外读物,298379
米面,相机,298355
游戏机,办公用品,298319
健身器材,厨具,298305
儿童课外读物,户外装备,298290
智能手表,户外装备,298264
户外装备,外套,298233
耳机,水产,298166
米面,帽子,298147
上衣,笔记本电脑,298123
蔬菜,婴儿用品,298060
外套,床上用品,298012
相机,手套,297988
车载电子,米面,297986
健身器材,上衣,297917
米面,平板电脑,297908
调味品,零食,297840
水产,裤子,297827
床上用品,外套,297801
相机,米面,297781
内衣,户外装备,297747
家具,米面,297638
水产,游戏机,297587
蛋奶,外套,297584
办公用品,裤子,297518
调味品,裙子,297508
蔬菜,肉类,297426
蔬菜,帽子,297414
外套,蛋奶,297410
肉类,蔬菜,297388
帽子,米面,297374
外套,玩具,297280
厨具,智能手表,297249
米面,车载电子,297228
手套,平板电脑,297209
手套,帽子,297166
车载电子,手套,297119
零食,调味品,297106
帽子,蔬菜,297038
相机,蔬菜,297036
婴儿用品,手套,297031
儿童课外读物,厨具,297026
办公用品,益智玩具,297023
